qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
C9JW30_HUMAN/969-1091	7JPT:A	100	123	0	0	1	123	940	1062	5.07e-81	261	123
Q7TMC0_RAT/140-215	1KZA:1	100	68	0	0	1	68	12	79	6.35e-44	140	76
Q5M8M6_MOUSE/154-257	3J82:A	100	104	0	0	1	104	21	124	2.37e-77	226	104
A8K7G0_HUMAN/171-217	6W12:A	100	28	0	0	1	28	19	46	1.95e-12	61.2	47
CLC2D_MOUSE/97-197	6E7D:P	100	98	0	0	1	98	25	122	2.39e-72	213	101
CLC1B_HUMAN/119-218	2C6U:A	100	100	0	0	1	100	20	119	1.44e-75	221	100
B7ZML4_HUMAN/1131-1234	6JLI:A	100	104	0	0	1	104	15	118	1.88e-78	228	104
CLC4F_MOUSE/429-538	6JJJ:F	100	110	0	0	1	110	37	146	9.89e-85	246	110
1esl	8R5M:A	100	120	0	0	1	120	1	120	3.40e-86	254	120
1msba	1YTT:A	100	115	0	0	1	115	1	115	8.66e-84	242	115
1msba	1MSB:A	100	115	0	0	1	115	1	115	8.66e-84	242	115
1msba	1MSB:B	100	115	0	0	1	115	1	115	8.66e-84	242	115
1msba	1KX1:A	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KX1:B	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KX1:C	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KX1:D	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KX1:E	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KX1:F	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1RTM:1	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1RTM:2	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1RTM:3	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1BUU:A	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KWU:A	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KWU:B	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KWU:C	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KWY:A	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KWY:B	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KWY:C	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KWV:A	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KWV:B	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KWV:C	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KWW:A	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KWW:B	100	115	0	0	1	115	35	149	2.68e-83	242	115
1msba	1KWW:C	100	115	0	0	1	115	35	149	2.68e-83	242	115
C9JW30_HUMAN/667-792	7JPU:D	100	121	0	0	1	121	638	758	2.19e-84	271	126
C9JCE4_HUMAN/5-81	2YHF:I	100	70	0	0	8	77	47	116	6.78e-49	152	77
Q9D8Q7_MOUSE/64-171	6LFJ:A	100	108	0	0	1	108	23	130	6.80e-83	240	108
CLC4D_HUMAN/101-209	3WHD:C	100	109	0	0	1	109	42	150	1.31e-83	243	109
1ixxb	1J35:B	100	123	0	0	1	123	1	123	8.35e-97	276	123
CLC4A_HUMAN/123-232	5B1W:B	100	110	0	0	1	110	19	128	2.33e-83	241	110
ECHA_ECHCA/23-131	1OZ7:A	100	109	0	0	1	109	19	127	8.72e-79	230	109
RHCA_AGKRH/19-129	1SB2:A	100	111	0	0	1	111	19	129	5.05e-81	236	111
BITB_BITAR/21-123	1JWI:B	100	103	0	0	1	103	19	121	3.02e-78	228	103
AGGA_AGKRH/22-133	3BX4:C	100	112	0	0	1	112	20	131	3.38e-82	239	112
P84493_9TELE/38-144	6JK4:A	100	107	0	0	1	107	19	125	1.22e-81	237	107
OC17_CHICK/22-140	1GZ2:A	100	119	0	0	1	119	19	137	2.76e-84	244	119
2afp	2AFP:A	100	129	0	0	1	129	1	129	3.47e-101	287	129
Q7M462_CUCEC/20-137	1WMY:B	100	118	0	0	1	118	20	137	1.03e-88	256	118
BOTB_BOTJA/19-123	1U0N:C	100	105	0	0	1	105	19	123	4.42e-81	235	105
PRG2_HUMAN/114-222	7Y5N:A	100	109	0	0	1	109	28	136	1.71e-86	249	109
1ixxa	1IXX:E	100	129	0	0	1	129	1	129	3.91e-98	280	129
AGGB2_AGKAC/44-147	6XFQ:B	100	104	0	0	1	104	19	122	1.38e-79	231	104
SCAL1_STRCA/20-130	4UXM:A	100	111	0	0	1	111	19	129	4.51e-86	248	111
RHCB_AGKRH/21-125	3GPR:B	100	105	0	0	1	105	20	124	7.56e-78	227	105
BITA_BITAR/21-127	1UEX:A	100	107	0	0	1	107	19	125	5.63e-80	233	107
1tn3	1HTN:A	100	137	0	0	1	137	20	156	3.10e-103	294	137
BOTA_BOTJA/19-130	1U0N:B	100	112	0	0	1	112	19	130	1.33e-81	237	112
