	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	C9JW30_HUMAN/969-1091	7JPT:A	100	123	0	0	1	123	940	1062	5.07e-81	261.0	123
1	Q5M8M6_MOUSE/154-257	3J82:A	100	104	0	0	1	104	21	124	2.37e-77	226.0	104
2	CLC1B_HUMAN/119-218	2C6U:A	100	100	0	0	1	100	20	119	1.44e-75	221.0	100
3	B7ZML4_HUMAN/1131-1234	6JLI:A	100	104	0	0	1	104	15	118	1.88e-78	228.0	104
4	CLC4F_MOUSE/429-538	6JJJ:F	100	110	0	0	1	110	37	146	9.890000000000001e-85	246.0	110
5	1esl	8R5M:A	100	120	0	0	1	120	1	120	3.4e-86	254.0	120
6	1msba	1YTT:A	100	115	0	0	1	115	1	115	8.66e-84	242.0	115
7	1msba	1MSB:A	100	115	0	0	1	115	1	115	8.66e-84	242.0	115
8	1msba	1MSB:B	100	115	0	0	1	115	1	115	8.66e-84	242.0	115
9	1msba	1KX1:A	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
10	1msba	1KX1:B	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
11	1msba	1KX1:C	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
12	1msba	1KX1:D	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
13	1msba	1KX1:E	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
14	1msba	1KX1:F	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
15	1msba	1RTM:1	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
16	1msba	1RTM:2	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
17	1msba	1RTM:3	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
18	1msba	1BUU:A	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
19	1msba	1KWU:A	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
20	1msba	1KWU:B	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
21	1msba	1KWU:C	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
22	1msba	1KWY:A	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
23	1msba	1KWY:B	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
24	1msba	1KWY:C	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
25	1msba	1KWV:A	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
26	1msba	1KWV:B	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
27	1msba	1KWV:C	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
28	1msba	1KWW:A	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
29	1msba	1KWW:B	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
30	1msba	1KWW:C	100	115	0	0	1	115	35	149	2.68e-83	242.0	115
31	Q9D8Q7_MOUSE/64-171	6LFJ:A	100	108	0	0	1	108	23	130	6.8e-83	240.0	108
32	CLC4D_HUMAN/101-209	3WHD:C	100	109	0	0	1	109	42	150	1.31e-83	243.0	109
33	1ixxb	1J35:B	100	123	0	0	1	123	1	123	8.350000000000001e-97	276.0	123
34	CLC4A_HUMAN/123-232	5B1W:B	100	110	0	0	1	110	19	128	2.33e-83	241.0	110
35	ECHA_ECHCA/23-131	1OZ7:A	100	109	0	0	1	109	19	127	8.720000000000001e-79	230.0	109
36	RHCA_AGKRH/19-129	1SB2:A	100	111	0	0	1	111	19	129	5.05e-81	236.0	111
37	BITB_BITAR/21-123	1JWI:B	100	103	0	0	1	103	19	121	3.02e-78	228.0	103
38	AGGA_AGKRH/22-133	3BX4:C	100	112	0	0	1	112	20	131	3.38e-82	239.0	112
39	P84493_9TELE/38-144	6JK4:A	100	107	0	0	1	107	19	125	1.2199999999999999e-81	237.0	107
40	OC17_CHICK/22-140	1GZ2:A	100	119	0	0	1	119	19	137	2.76e-84	244.0	119
41	2afp	2AFP:A	100	129	0	0	1	129	1	129	3.47e-101	287.0	129
42	Q7M462_CUCEC/20-137	1WMY:B	100	118	0	0	1	118	20	137	1.03e-88	256.0	118
43	BOTB_BOTJA/19-123	1U0N:C	100	105	0	0	1	105	19	123	4.42e-81	235.0	105
44	PRG2_HUMAN/114-222	7Y5N:A	100	109	0	0	1	109	28	136	1.71e-86	249.0	109
45	1ixxa	1IXX:E	100	129	0	0	1	129	1	129	3.91e-98	280.0	129
46	AGGB2_AGKAC/44-147	6XFQ:B	100	104	0	0	1	104	19	122	1.3800000000000002e-79	231.0	104
47	SCAL1_STRCA/20-130	4UXM:A	100	111	0	0	1	111	19	129	4.51e-86	248.0	111
48	RHCB_AGKRH/21-125	3GPR:B	100	105	0	0	1	105	20	124	7.56e-78	227.0	105
49	BITA_BITAR/21-127	1UEX:A	100	107	0	0	1	107	19	125	5.6300000000000005e-80	233.0	107
50	1tn3	1HTN:A	100	137	0	0	1	137	20	156	3.1e-103	294.0	137
51	BOTA_BOTJA/19-130	1U0N:B	100	112	0	0	1	112	19	130	1.33e-81	237.0	112
52	D3W0D1_HUMAN/95-195	4IOP:B	100	101	0	0	1	101	20	120	1.45e-75	221.0	101
53	A8K7K7_HUMAN/111-212	5MGS:H	100	102	0	0	1	102	22	123	6.33e-72	212.0	102
54	CLC5A_HUMAN/88-185	2YHF:I	100	98	0	0	1	98	19	116	2.5300000000000002e-70	207.0	98
55	NKG2D_MOUSE/132-229	4PP8:B	100	98	0	0	1	98	25	122	1.84e-69	206.0	98
56	NKG2D_HUMAN/116-213	8TM2:A	100	98	0	0	1	98	25	122	1.96e-68	207.0	98
57	Q8CBB4_MOUSE/155-257	3J82:A	100	103	0	0	1	103	22	124	9.27e-77	224.0	103
58	KLRD1_HUMAN/78-176	3BDW:A	100	99	0	0	1	99	22	120	6.27e-70	207.0	99
59	B4DNS7_HUMAN/102-207	1YPQ:B	100	106	0	0	1	106	26	131	2.42e-76	224.0	106
60	Q925C6_MOUSE/156-255	1QO3:C	100	100	0	0	1	100	31	130	9.82e-74	217.0	100
61	Q9EPZ3_MOUSE/174-273	3CAD:B	100	100	0	0	1	100	19	118	1.85e-74	218.0	100
62	Q61198_MOUSE/160-259	5J6G:H	100	100	0	0	1	100	16	115	1.44e-75	221.0	100
63	C9JA70_HUMAN/27-122	3CDG:F	100	96	0	0	1	96	24	119	8.019999999999999e-67	199.0	96
64	CLC2A_HUMAN/75-141	4IOP:A	100	67	0	0	1	67	20	86	1.44e-47	149.0	67
65	Q53ZX0_HUMAN/102-196	1FM5:A	100	95	0	0	1	95	25	119	1.31e-72	213.0	95
66	B4E009_HUMAN/102-164	1FM5:A	100	63	0	0	1	63	25	87	9.56e-46	144.0	63
67	Q19853_CAEEL/1203-1314	1WK1:A	100	112	0	0	1	112	18	129	1.5400000000000001e-86	250.0	112
68	C1QR1_HUMAN/43-168	8IVD:A	100	126	0	0	1	126	18	143	6.340000000000001e-88	259.0	126
69	LECG_CROAT/20-133	1JZN:E	100	114	0	0	1	114	20	133	1.09e-90	260.0	114
70	Q7T228_BOTJR/11-124	5F2Q:I	100	114	0	0	1	114	20	133	5.4e-91	261.0	114
71	XB2_AGKAC/42-144	1IOD:B	100	103	0	0	1	103	19	121	3.02e-78	228.0	103
72	IXXB_TRIFL/42-144	1J35:B	100	103	0	0	1	103	19	121	1.05e-78	229.0	103
73	CVXB_CRODU/44-146	1UMR:D	100	103	0	0	1	103	21	123	1.66e-80	234.0	103
74	AGGB_AGKRH/42-144	2VRP:B	100	103	0	0	1	103	19	121	6.33e-80	232.0	103
75	ECHB_ECHCA/42-144	1OZ7:B	100	103	0	0	1	103	19	121	1.33e-81	236.0	103
76	SVLEC_AGKAC/42-146	7QAJ:D	100	105	0	0	1	105	19	123	2.5600000000000003e-80	233.0	105
77	D2YW40_AGKRH/18-122	3GPR:D	100	105	0	0	1	105	18	122	8.32e-79	229.0	105
78	D2YW39_AGKRH/20-130	3GPR:C	100	111	0	0	1	111	20	130	4.8e-84	243.0	111
79	EM16A_ECHML/44-154	1V7P:A	100	111	0	0	1	111	21	131	3e-87	251.0	111
80	AGGA1_AGKAC/44-152	6XFQ:A	100	109	0	0	1	109	20	128	4.34e-81	236.0	109
81	CVXA_CRODU/44-154	1UMR:B	100	111	0	0	1	111	21	131	1.6000000000000001e-80	234.0	111
82	IXA_TRIFL/19-129	1J35:A	100	111	0	0	1	111	19	129	1.1199999999999999e-81	237.0	111
83	IXXA_TRIFL/42-152	1IXX:E	100	111	0	0	1	111	19	129	1.59e-81	237.0	111
84	XA2_AGKAC/42-152	1Y17:A	100	111	0	0	1	111	19	129	7.89e-82	238.0	111
85	XA1_AGKAC/42-152	1WT9:A	100	111	0	0	1	111	19	129	2.75e-82	239.0	111
86	MUCA_TRIMU/44-154	1V4L:E	100	111	0	0	1	111	21	131	1.6000000000000001e-80	234.0	111
87	A8K7G6_HUMAN/53-164	1LIT:A	100	112	0	0	1	112	18	129	4.52e-84	243.0	112
88	REG3A_HUMAN/57-173	4MTH:A	100	117	0	0	1	117	21	137	2.74e-88	254.0	117
89	CD302_HUMAN/45-155	2NAN:A	100	111	0	0	1	111	24	134	4.63e-81	236.0	111
90	C9J3Y2_HUMAN/1687-1796	2NAN:A	100	110	0	0	1	110	25	134	2.57e-80	234.0	110
91	C9J3Y2_HUMAN/1266-1362	7JPT:A	100	97	0	0	1	97	1237	1333	3.25e-63	209.0	97
92	C9J3Y2_HUMAN/1120-1222	7JPT:A	100	103	0	0	1	103	1091	1193	2.61e-69	227.0	103
93	Q0Z8D6_HUMAN/521-627	6INN:D	100	107	0	0	1	107	500	606	1.2900000000000002e-73	231.0	107
94	LY75_HUMAN/525-625	7JPT:A	100	101	0	0	1	101	496	596	1.2e-66	219.0	101
95	Q7M4F9_CUCEC/22-149	3ALU:D	100	128	0	0	1	128	22	149	5.2e-93	268.0	128
96	Q6ULR6_HUMAN/1-44	1G1R:D	100	44	0	0	1	44	76	119	4.77e-29	102.0	44
97	Q91992_CLUHA/38-144	2PY2:F	100	107	0	0	1	107	18	124	7.3e-81	235.0	107
98	A0ZT93_9PERC/62-165	2ZIB:A	100	104	0	0	1	104	24	127	1.68e-79	231.0	104
99	ISP2_HEMAM/58-161	2AFP:A	100	104	0	0	1	104	24	127	3.84e-78	228.0	104
100	Q68DS3_HUMAN/18-130	1HTN:A	100	113	0	0	1	113	41	153	1.55e-83	243.0	113
101	SFTPD_PIG/270-378	6BBE:A	100	109	0	0	1	109	47	155	2.64e-76	224.0	109
102	Q9XSP4_PIG/17-104	6BBE:A	100	88	0	0	1	88	47	134	1.0500000000000001e-58	179.0	88
103	SFTPD_HUMAN/271-375	2RIC:C	100	105	0	0	1	105	54	158	4.57e-72	214.0	105
104	CONG_BOVIN/264-371	6RYM:A	100	108	0	0	1	108	15	122	5.7500000000000005e-75	220.0	108
105	MBL1_RAT/134-236	1YTT:B	100	103	0	0	1	103	10	112	1.1300000000000002e-73	216.0	103
106	MBL1_RAT/134-236	2MSB:A	100	103	0	0	1	103	9	111	1.1300000000000002e-73	216.0	103
107	MBL1_RAT/134-236	2MSB:B	100	103	0	0	1	103	9	111	1.17e-73	216.0	103
108	MBL1_RAT/134-236	1YTT:A	100	103	0	0	1	103	11	113	1.2500000000000001e-73	216.0	103
109	MBL1_RAT/134-236	1MSB:A	100	103	0	0	1	103	11	113	1.2500000000000001e-73	216.0	103
110	MBL1_RAT/134-236	1MSB:B	100	103	0	0	1	103	11	113	1.2500000000000001e-73	216.0	103
111	MBL1_RAT/134-236	1KX1:A	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
112	MBL1_RAT/134-236	1KX1:B	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
113	MBL1_RAT/134-236	1KX1:C	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
114	MBL1_RAT/134-236	1KX1:D	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
115	MBL1_RAT/134-236	1KX1:E	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
116	MBL1_RAT/134-236	1KX1:F	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
117	MBL1_RAT/134-236	1RTM:1	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
118	MBL1_RAT/134-236	1RTM:2	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
119	MBL1_RAT/134-236	1RTM:3	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
120	MBL1_RAT/134-236	1BUU:A	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
121	MBL1_RAT/134-236	1KWU:A	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
122	MBL1_RAT/134-236	1KWU:B	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
123	MBL1_RAT/134-236	1KWU:C	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
124	MBL1_RAT/134-236	1KWY:A	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
125	MBL1_RAT/134-236	1KWY:B	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
126	MBL1_RAT/134-236	1KWY:C	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
127	MBL1_RAT/134-236	1KWV:A	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
128	MBL1_RAT/134-236	1KWV:B	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
129	MBL1_RAT/134-236	1KWV:C	100	103	0	0	1	103	45	147	3.81e-73	216.0	103
130	MBL2_RAT/140-242	1KZA:1	100	103	0	0	1	103	12	114	2.5200000000000003e-73	215.0	103
