qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
FA7_PANTR/110-140	4ZMA:L	100	31	0	0	1	31	50	80	3.90e-18	73.6	31
FA7_PANPA/110-140	4ZMA:L	100	31	0	0	1	31	50	80	3.90e-18	73.6	31
B4DPM2_HUMAN/41-71	4ZMA:L	100	31	0	0	1	31	50	80	3.90e-18	73.6	31
FA7_HUMAN/110-140	4ZMA:L	100	31	0	0	1	31	50	80	3.90e-18	73.6	31
Q542C2_MOUSE/91-121	5KY2:B	100	31	0	0	1	31	5	35	3.65e-20	75.9	31
FA7_MOUSE/91-121	5KY2:B	100	31	0	0	1	31	5	35	3.65e-20	75.9	31
Q3U2F0_MOUSE/91-121	5KY2:B	100	31	0	0	1	31	5	35	3.65e-20	75.9	31
C9JJA1_HUMAN/86-117	1TPG:A	100	32	0	0	1	32	51	82	1.63e-20	78.2	32
B4DRD3_HUMAN/44-75	1TPG:A	100	32	0	0	1	32	51	82	1.63e-20	78.2	32
TPA_PONAB/86-117	1TPG:A	100	32	0	0	1	32	51	82	1.63e-20	78.2	32
TPA_HUMAN/86-117	1TPG:A	100	32	0	0	1	32	51	82	1.63e-20	78.2	32
C9JN89_HUMAN/39-70	1TPG:A	100	32	0	0	1	32	51	82	1.63e-20	78.2	32
B4DN26_HUMAN/86-117	1TPG:A	100	32	0	0	1	32	51	82	1.63e-20	78.2	32
Q5HYM8_HUMAN/2-33	1TPG:A	100	32	0	0	1	32	51	82	1.63e-20	78.2	32
B4DV92_HUMAN/86-117	1TPG:A	100	32	0	0	1	32	51	82	1.63e-20	78.2	32
NOTC1_HUMAN/222-253	5FMA:A	100	21	0	0	1	21	82	102	8.34e-10	52.4	32
Q8K428_MOUSE/987-1017	5KY4:B	100	31	0	0	1	31	1	31	1.39e-19	74.3	31
Q7TQ51_MOUSE/982-1012	5KY4:B	100	31	0	0	1	31	1	31	1.39e-19	74.3	31
NOTC1_HUMAN/987-1017	5KY4:B	100	31	0	0	1	31	1	31	1.39e-19	74.3	31
Q7TQ50_MOUSE/987-1017	5KY4:B	100	31	0	0	1	31	1	31	1.39e-19	74.3	31
Q7TQ52_MOUSE/972-1002	5KY4:B	100	31	0	0	1	31	1	31	1.39e-19	74.3	31
