	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	THRB_BOVIN/109-187	1NL2:A	100	79	0	0	1	79	66	144	7.8200000000000005e-56	180.0	79
1	C9JV37_HUMAN/98-176	4O03:A	100	79	0	0	1	79	65	143	5.75e-55	181.0	79
2	THRB_HUMAN/108-186	4O03:A	100	79	0	0	1	79	65	143	5.75e-55	181.0	79
3	B2R7F8_HUMAN/275-352	4A5T:S	100	78	0	0	1	78	256	333	4.23e-55	184.0	78
4	PLMN_HUMAN/275-352	4A5T:S	100	78	0	0	1	78	256	333	4.23e-55	184.0	78
5	A6PVI2_HUMAN/120-166	4A5T:S	100	47	0	0	1	47	84	130	5.73e-26	100.0	47
6	PLMN_HUMAN/103-181	4A5T:S	100	79	0	0	1	79	84	162	2.1399999999999998e-53	179.0	79
7	B2R7F8_HUMAN/103-181	4A5T:S	100	79	0	0	1	79	84	162	2.1399999999999998e-53	179.0	79
8	Q5TEH5_HUMAN/103-136	4A5T:S	100	34	0	0	1	34	84	117	2.71e-17	75.1	34
9	THRB_PONAB/214-292	6C2W:B	100	79	0	0	1	79	170	248	2.2e-55	182.0	79
10	B4DDT3_HUMAN/62-140	6C2W:B	100	79	0	0	1	79	170	248	2.2e-55	182.0	79
11	THRB_HUMAN/213-291	6C2W:B	100	79	0	0	1	79	170	248	2.2e-55	182.0	79
12	C9JV37_HUMAN/203-281	6C2W:B	100	79	0	0	1	79	170	248	2.2e-55	182.0	79
13	Q99JC8_RAT/89-159	2K51:A	100	71	0	0	1	71	6	76	1.23e-57	173.0	71
14	B4DV92_HUMAN/152-233	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188.0	82
15	B4DRD3_HUMAN/173-254	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188.0	82
16	B4DN26_HUMAN/126-207	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188.0	82
17	TPA_HUMAN/215-296	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188.0	82
18	B8ZX62_HUMAN/215-296	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188.0	82
19	B4DNJ1_HUMAN/89-170	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188.0	82
20	C9JN89_HUMAN/168-249	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188.0	82
21	FA12_HUMAN/217-295	8OS5:A	100	79	0	0	1	79	181	259	1.37e-59	184.0	79
22	Q8IZZ5_HUMAN/217-295	8OS5:A	100	79	0	0	1	79	181	259	1.37e-59	184.0	79
23	C1P671_HUMAN/34-116	5FWV:A	100	83	0	0	1	83	4	86	3.35e-66	202.0	83
24	KREM1_HUMAN/32-114	5FWV:A	100	83	0	0	1	83	4	86	3.35e-66	202.0	83
25	C9JVI5_HUMAN/32-114	5FWV:A	100	83	0	0	1	83	4	86	3.35e-66	202.0	83
26	B4DNJ4_HUMAN/1-65	1URK:A	100	65	0	0	1	65	62	126	2.06e-49	154.0	65
27	UROK_HUMAN/70-151	1URK:A	100	82	0	0	1	82	45	126	1.1900000000000001e-64	193.0	82
28	Q5PY49_HUMAN/50-131	1URK:A	100	82	0	0	1	82	45	126	1.1900000000000001e-64	193.0	82
29	B2R7F2_HUMAN/70-151	1URK:A	100	82	0	0	1	82	45	126	1.1900000000000001e-64	193.0	82
30	UROK_MOUSE/71-152	3LAQ:B	100	82	0	0	1	82	44	125	5.03e-65	194.0	82
31	Q8C6L2_MOUSE/71-152	3LAQ:B	100	82	0	0	1	82	44	125	5.03e-65	194.0	82
32	Q0VBA8_MOUSE/71-152	3LAQ:B	100	82	0	0	1	82	44	125	5.03e-65	194.0	82
33	ROR2_DROME/219-297	7ME4:A	100	79	0	0	1	79	152	230	4.09e-63	192.0	79
34	B3NRR2_DROER/221-299	7ME4:A	100	79	0	0	1	79	152	230	4.09e-63	192.0	79
35	B4P4U6_DROYA/219-297	7ME4:A	100	79	0	0	1	79	152	230	4.09e-63	192.0	79
36	B4HQ08_DROSE/219-297	7ME4:A	100	79	0	0	1	79	152	230	4.09e-63	192.0	79
37	A2VCQ3_HUMAN/316-394	7TNG:A	100	79	0	0	1	79	4	82	4.31e-62	185.0	79
38	ROR1_HUMAN/313-391	7TNG:A	100	79	0	0	1	79	4	82	4.31e-62	185.0	79
39	D2H7H8_AILME/259-337	7TNG:A	100	79	0	0	1	79	4	82	4.31e-62	185.0	79
40	Q66K77_HUMAN/313-391	7TNG:A	100	79	0	0	1	79	4	82	4.31e-62	185.0	79
41	B1APY4_HUMAN/176-254	6OSN:A	100	79	0	0	1	79	7	85	2.35e-61	183.0	79
42	A6NNI9_HUMAN/176-254	6OSN:A	100	79	0	0	1	79	7	85	2.35e-61	183.0	79
43	A1L4F5_HUMAN/316-394	6OSN:A	100	79	0	0	1	79	7	85	2.35e-61	183.0	79
44	ROR2_HUMAN/316-394	6OSN:A	100	79	0	0	1	79	7	85	2.35e-61	183.0	79
45	APOA_HUMAN/826-903	6RX7:C	100	78	0	0	1	78	15	92	1.95e-59	178.0	78
46	APOA_HUMAN/256-333	6RX7:C	100	78	0	0	1	78	15	92	1.95e-59	178.0	78
47	APOA_HUMAN/2422-2499	6RX7:C	100	78	0	0	1	78	15	92	1.95e-59	178.0	78
48	APOA_HUMAN/1966-2043	6RX7:C	100	78	0	0	1	78	15	92	1.95e-59	178.0	78
49	APOA_HUMAN/1510-1587	6RX7:C	100	78	0	0	1	78	15	92	1.95e-59	178.0	78
