qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
1d2zb	1D2Z:D	100	150	0	0	1	150	1	150	1.22e-105	300	150
B4DQ72_HUMAN/44-121	3MOP:F	100	78	0	0	1	78	13	90	2.00e-50	156	78
1e41a	1E3Y:A	100	104	0	0	1	104	1	104	3.58e-71	209	104
1ddf	1DDF:A	100	122	0	0	1	122	1	122	4.79e-80	234	127
D3Z6E5_MOUSE/223-306	3OQ9:E	100	84	0	0	1	84	1	84	5.42e-55	167	84
RIPK1_HUMAN/584-668	6AC5:A	100	85	0	0	1	85	11	95	3.61e-60	181	85
Q8CJ26_MOUSE/143-222	6HJ7:A	100	80	0	0	1	80	17	96	2.42e-51	158	80
1ngr	1NGR:A	100	85	0	0	1	85	1	85	4.00e-57	172	85
1d2za	1YGO:A	100	102	0	0	1	102	7	108	1.34e-69	206	102
1icha	1ICH:A	100	87	0	0	1	87	1	87	3.38e-59	178	87
PIDD_HUMAN/789-873	2OF5:L	100	85	0	0	1	85	13	97	6.11e-55	167	85
B3KQZ9_HUMAN/157-244	6AC0:A	100	88	0	0	1	88	20	107	1.29e-53	165	88
D2H9D3_AILME/216-303	6AC0:A	100	87	0	0	2	88	21	107	3.70e-53	164	88
B7Z678_HUMAN/436-519	4D8O:A	100	78	0	0	1	78	489	566	1.48e-47	161	84
A8KA62_HUMAN/612-695	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
ANK1_HUMAN/1404-1487	2YQF:A	100	84	0	0	1	84	18	101	6.79e-54	165	84
UNC5B_RAT/864-942	3G5B:A	100	79	0	0	1	79	324	402	1.48e-48	160	79
UNC5B_MOUSE/864-942	1WMG:A	100	79	0	0	1	79	11	89	7.95e-52	159	79
UNC5B_MOUSE/864-942	1WMG:F	100	78	0	0	1	78	10	87	5.98e-51	157	79
UNC5B_MOUSE/864-942	1WMG:E	100	78	0	0	1	78	11	88	6.16e-51	157	79
NFKB2_HUMAN/776-851	2D96:A	100	76	0	0	1	76	18	93	2.34e-47	148	76
NFKB1_HUMAN/817-892	2DBF:A	100	76	0	0	1	76	18	93	1.07e-48	151	76
Q3USX5_MOUSE/20-101	1WH4:A	100	82	0	0	1	82	27	108	7.58e-56	171	82
B4IC68_DROSE/43-121	1YGO:A	100	79	0	0	1	79	22	100	1.79e-52	161	79
B3P635_DROER/40-118	1IK7:A	100	44	0	0	36	79	1	44	1.20e-26	94.7	79
B3P635_DROER/40-118	1IK7:B	100	41	0	0	39	79	1	41	3.09e-24	88.6	79
Q6V6J6_DROSI/1-47	1YGO:A	100	47	0	0	1	47	54	100	1.58e-28	99.8	47
B4E096_HUMAN/251-327	7CSQ:A	100	77	0	0	1	77	16	92	1.55e-50	156	77
TNR16_MOUSE/338-411	1NGR:A	100	73	0	0	1	73	13	85	7.31e-48	149	74
Q6Y1I8_PANTR/114-196	1WXP:A	100	83	0	0	1	83	18	100	3.65e-53	163	83
Q8IY43_HUMAN/117-194	2O71:A	100	78	0	0	1	78	9	86	4.72e-53	162	78
FADD_HUMAN/98-181	2GF5:A	100	84	0	0	1	84	98	181	6.16e-55	171	84
FADD_MOUSE/98-181	1FAD:A	100	84	0	0	1	84	10	93	2.39e-53	163	84
Q8IUB7_HUMAN/5-88	1DDF:A	100	84	0	0	1	84	15	98	6.49e-53	163	84
B1ALX0_HUMAN/146-215	5YGS:D	100	69	0	0	2	70	374	442	1.81e-39	137	70
B3KSV7_HUMAN/93-173	5YGS:D	100	80	0	0	2	81	374	453	4.79e-48	160	81
D3ZDH6_RAT/305-385	5YEV:D	100	80	0	0	2	81	374	453	3.11e-48	160	81
1fada	1FAD:A	100	95	0	0	1	95	1	95	1.08e-61	185	95
TRADD_HUMAN/217-304	6AC0:A	100	88	0	0	1	88	20	107	1.29e-53	165	88
B3KU53_HUMAN/186-270	6AC5:A	100	85	0	0	1	85	11	95	3.61e-60	181	85
ANK2_HUMAN/3537-3620	4D8O:A	100	78	0	0	1	78	489	566	1.48e-47	161	84
C9JEU3_HUMAN/137-220	4D8O:A	100	78	0	0	1	78	489	566	1.48e-47	161	84
Q7Z344_HUMAN/486-569	4D8O:A	100	78	0	0	1	78	489	566	1.48e-47	161	84
B7Z2H4_HUMAN/661-744	4D8O:A	100	78	0	0	1	78	489	566	1.48e-47	161	84
Q5CZH9_HUMAN/1472-1555	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
B1AQT2_HUMAN/612-695	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
B4DIL1_HUMAN/1479-1562	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
Q8CBN3_MOUSE/612-695	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
Q9QXH1_MOUSE/552-635	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
O70511_RAT/2337-2420	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
O70510_RAT/13-96	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
B1AQT0_HUMAN/11-94	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
Q574E0_RAT/599-682	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
Q3TSJ8_MOUSE/612-695	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
Q7Z3G4_HUMAN/1472-1555	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
Q574D7_RAT/1427-1510	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
Q3T1J5_RAT/595-678	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
Q574D9_RAT/599-682	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
Q574E1_RAT/599-682	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
O88521_RAT/1477-1560	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
Q574E2_RAT/599-682	4O6X:B	100	84	0	0	1	84	4	87	9.73e-54	164	84
