qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
HMGB1_CALMO/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
D4A9T3_RAT/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
HMGB1_CALJA/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
B4USW9_OTOGA/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
D3ZA18_RAT/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
Q8BQ02_MOUSE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
HMGB1_MOUSE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
HMGB1_HUMAN/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
HMGB1_RAT/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
A7E1T5_PIG/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
Q58EV5_MOUSE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
Q5T7C0_HUMAN/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
D3YVC6_MOUSE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
D3ZCR3_RAT/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
Q3UJK0_MOUSE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
B7NZ89_RABIT/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
D4A2L7_RAT/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
Q8C7C4_MOUSE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
D3Z351_MOUSE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
Q8BNM0_MOUSE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
Q5T7C6_HUMAN/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
HMGB1_BOVIN/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
HMGB1_HORSE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
D3ZXR5_RAT/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
HMGB1_MACFA/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
B4F758_RAT/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
B2KI23_RHIFE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
D3YZ18_MOUSE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
Q59GW1_HUMAN/8-81	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
Q6P202_MOUSE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
HMGB1_PAPAN/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
Q5T7C4_HUMAN/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
HMGB1_CANFA/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
B3EX36_SORAR/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
B7Z965_HUMAN/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
Q497Z6_MOUSE/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
HMGB1_PIG/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
D3Z8A3_RAT/6-79	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
Q7TPK9_RAT/134-207	2YRQ:A	100	74	0	0	1	74	13	86	7.60e-47	149	74
