	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	1rfnb	1RFN:B	100	57	0	0	1	57	1	57	1.65e-39	126.0	57
1	1rfnb	3LC3:B	100	57	0	0	1	57	1	57	1.65e-39	126.0	57
2	1rfnb	3LC3:D	100	57	0	0	1	57	1	57	1.65e-39	126.0	57
3	1dan2	6R2W:L	100	56	0	0	1	56	87	142	2.34e-39	128.0	56
4	1urk	1URK:A	100	41	0	0	1	41	1	41	5.26e-29	101.0	41
5	C9JJA1_HUMAN/86-117	1TPG:A	100	32	0	0	1	32	51	82	1.63e-20	78.2	32
6	PROZ_HUMAN/91-121	3H5C:B	100	31	0	0	1	31	3	33	7.04e-18	75.9	31
7	1apo	1WHE:A	100	42	0	0	1	42	45	86	1.8499999999999999e-28	98.6	42
8	1esl	8R5M:A	100	37	0	0	1	37	121	157	2.94e-22	87.4	37
9	1fsb	1FSB:A	100	40	0	0	1	40	1	40	5.130000000000001e-27	93.6	40
10	Q91WZ4_9MURI/49-76	1LMJ:A	100	28	0	0	1	28	9	36	1.08e-16	68.2	28
11	4tgf	4TGF:A	100	50	0	0	1	50	1	50	6.750000000000001e-36	116.0	50
12	1epi	1EPG:A	100	53	0	0	1	53	1	53	2.16e-40	128.0	53
13	1hre	1HRE:A	100	67	0	0	1	67	1	67	5.39e-47	145.0	67
14	Q6QBS2_HUMAN/5-41	7SYD:C	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
15	Q6QBS2_HUMAN/5-41	7SYD:D	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
16	Q6QBS2_HUMAN/5-41	7SYE:C	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
17	Q6QBS2_HUMAN/5-41	7SYE:D	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
18	Q6QBS2_HUMAN/5-41	7SZ0:C	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
19	Q6QBS2_HUMAN/5-41	7SZ0:D	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
20	Q6QBS2_HUMAN/5-41	7SZ1:C	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
21	Q6QBS2_HUMAN/5-41	7SZ1:D	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
22	Q6QBS2_HUMAN/5-41	8HGO:C	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
23	Q6QBS2_HUMAN/5-41	8HGS:C	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
24	Q6QBS2_HUMAN/5-41	8HGS:D	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
25	Q6QBS2_HUMAN/5-41	3NJP:C	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
26	Q6QBS2_HUMAN/5-41	3NJP:D	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
27	Q6QBS2_HUMAN/5-41	7OM4:C	100	37	0	0	1	37	1	37	5.0299999999999995e-25	88.6	37
