qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
CRGC_HUMAN/3-82	2NBR:A	100	80	0	0	1	80	2	81	1.89e-58	179	80
A7KK37_PANPA/3-82	2JDF:A	100	80	0	0	1	80	2	81	9.17e-60	182	80
CRGB_HUMAN/3-82	2JDF:A	100	80	0	0	1	80	2	81	9.17e-60	182	80
A7KK34_HYLLA/3-82	2JDF:A	100	80	0	0	1	80	2	81	9.17e-60	182	80
Q7LZ93_9CHON/2-20	4W9B:A	100	19	0	0	1	19	2	20	1.68e-08	48.5	19
Q7LZ93_9CHON/2-20	4W9A:A	100	19	0	0	1	19	2	20	1.68e-08	48.5	19
Q7LZ93_9CHON/2-20	1AMM:A	100	19	0	0	1	19	2	20	1.72e-08	48.5	19
Q7LZ93_9CHON/2-20	4GCR:A	100	19	0	0	1	19	2	20	1.72e-08	48.5	19
Q7LZ93_9CHON/2-20	1GCS:A	100	19	0	0	1	19	2	20	1.72e-08	48.5	19
Q96QW7_HUMAN/235-314	2DAD:A	100	80	0	0	1	80	8	87	4.85e-56	170	80
Q6P5P8_HUMAN/220-299	2DAD:A	100	80	0	0	1	80	8	87	4.85e-56	170	80
AIM1_HUMAN/1416-1495	2DAD:A	100	80	0	0	1	80	8	87	4.85e-56	170	80
B7ZAH2_HUMAN/235-314	2DAD:A	100	80	0	0	1	80	8	87	4.85e-56	170	80
B4DU04_HUMAN/235-314	2DAD:A	100	80	0	0	1	80	8	87	4.85e-56	170	80
B4DLI1_HUMAN/96-175	2DAD:A	100	80	0	0	1	80	8	87	4.85e-56	170	80
A0B567_METTP/56-137	5HT7:C	100	81	0	0	2	82	1	81	1.08e-55	169	82
O18426_GEOCY/85-161	4IAU:A	100	77	0	0	1	77	84	160	2.83e-52	162	77
Q8TMX3_METAC/40-120	2K1W:A	100	81	0	0	1	81	5	85	8.00e-56	169	81
DESS_MYXXA/92-173	1PRS:A	100	82	0	0	1	82	92	173	6.20e-53	165	82
DESS_MYXXA/3-85	1PRS:A	100	83	0	0	1	83	3	85	1.37e-54	169	83
A6LX94_CLOB8/121-204	3IAJ:A	100	84	0	0	1	84	2	85	7.30e-60	179	84
A6LX94_CLOB8/121-204	3I9H:A	100	84	0	0	1	84	2	85	7.30e-60	179	84
A6LX94_CLOB8/121-204	3I9H:B	100	84	0	0	1	84	2	85	7.30e-60	179	84
A6LX94_CLOB8/121-204	3I9H:C	100	84	0	0	1	84	2	85	7.30e-60	179	84
A6LX94_CLOB8/121-204	3I9H:D	100	84	0	0	1	84	2	85	7.30e-60	179	84
A6LX94_CLOB8/121-204	3I9H:F	100	84	0	0	1	84	2	85	7.30e-60	179	84
A6LX94_CLOB8/121-204	3I9H:G	100	84	0	0	1	84	2	85	7.30e-60	179	84
A6LX94_CLOB8/121-204	3I9H:H	100	84	0	0	1	84	2	85	7.30e-60	179	84
A6LX94_CLOB8/121-204	3I9H:E	100	84	0	0	1	84	3	86	7.53e-60	179	84
A5FC88_FLAJ1/502-585	3HZB:E	100	84	0	0	1	84	2	85	3.68e-56	170	84
Q2SHN6_HAHCH/165-249	2KP5:A	100	85	0	0	1	85	4	88	4.63e-55	167	85
SR3A_PHYPO/15-98	1AG4:A	100	84	0	0	1	84	15	98	3.18e-55	168	84
CRBG3_MOUSE/513-598	4FD9:B	100	86	0	0	1	86	4	89	2.76e-61	183	86
Q62535_MUSSP/1-30	1A5D:B	100	30	0	0	1	30	141	170	1.74e-15	67.4	30
Q62534_MUSSP/1-30	1ELP:A	100	30	0	0	1	30	141	170	8.79e-16	68.2	30
Q62534_MUSSP/1-30	1ELP:B	100	30	0	0	1	30	141	170	8.79e-16	68.2	30
